,Team,season_wins,net_points,avg_for_fg,avg_for_fgp,avg_opp_fgp,avg_for_3p,avg_for_3pp,avg_opp_3pp,avg_for_ft,avg_for_ftp,avg_opp_fta,avg_for_rb,avg_opp_rb,avg_for_blk,avg_opp_blk,avg_for_to,avg_opp_to
0,MIL,56,737.3000000000011,43.3,0.47600000000000003,0.414,13.8,0.355,0.355,18.3,0.742,21.2,51.7,45.8,5.9,4.5,15.1,14.0
1,TOR,53,453.59999999999945,40.2,0.45799999999999996,0.428,13.8,0.374,0.337,18.5,0.7959999999999999,23.2,45.4,46.0,5.0,5.5,14.8,16.8
2,BOS,48,460.8000000000011,41.3,0.461,0.441,12.6,0.364,0.34,18.6,0.8009999999999999,24.5,46.099999999999994,44.3,5.6,5.5,13.8,15.2
3,IND,45,138.70000000000073,42.1,0.47600000000000003,0.446,10.2,0.363,0.341,15.0,0.787,21.6,42.8,45.3,5.2,4.6,13.2,14.6
4,MIA,44,211.70000000000073,39.5,0.46799999999999997,0.44799999999999995,13.4,0.379,0.34700000000000003,19.7,0.7829999999999999,23.6,44.4,42.5,4.5,4.1,14.9,14.5
5,PHI,43,167.89999999999964,41.1,0.46799999999999997,0.46299999999999997,11.6,0.368,0.353,16.9,0.755,24.5,45.5,41.800000000000004,5.3,4.0,14.2,14.0
6,BRK,35,-36.0,40.4,0.44799999999999995,0.446,13.1,0.34299999999999997,0.35,17.9,0.745,22.6,48.0,46.0,4.5,5.3,15.3,13.0
7,ORL,33,-73.0,39.3,0.444,0.465,11.1,0.34299999999999997,0.364,17.6,0.774,19.8,44.5,44.8,5.4,4.6,12.8,14.7
8,CHO,23,-435.5,37.3,0.434,0.47600000000000003,12.1,0.35200000000000004,0.35200000000000004,16.2,0.748,18.4,42.8,45.9,4.1,5.0,14.6,14.2
9,WAS,25,-338.3999999999978,41.5,0.457,0.488,12.0,0.368,0.376,19.4,0.7879999999999999,26.2,42.099999999999994,46.2,4.3,5.0,14.2,16.1
10,CHI,22,-201.5,39.6,0.447,0.479,12.2,0.348,0.353,15.5,0.755,26.0,41.9,45.599999999999994,4.1,5.9,15.5,18.4
11,NYK,21,-429.0,40.0,0.447,0.46299999999999997,9.6,0.337,0.381,16.3,0.6940000000000001,25.7,46.5,44.2,4.7,5.0,14.3,13.6
12,DET,20,-237.60000000000036,39.3,0.45899999999999996,0.48,12.0,0.36700000000000005,0.361,16.6,0.743,20.9,41.8,43.5,4.5,5.6,15.3,13.9
13,ATL,20,-529.3000000000011,40.6,0.449,0.478,12.0,0.33299999999999996,0.363,18.5,0.79,27.4,43.3,47.099999999999994,5.1,6.4,16.2,14.8
14,CLE,19,-513.5,40.3,0.45799999999999996,0.491,11.2,0.35100000000000003,0.375,15.1,0.758,19.2,44.2,42.8,3.2,6.3,16.5,13.3
15,LAL,52,411.8000000000011,42.3,0.479,0.44799999999999995,11.0,0.349,0.349,17.7,0.7290000000000001,22.9,45.8,42.3,6.6,3.7,15.2,15.6
16,LAC,49,460.8000000000002,41.6,0.466,0.43799999999999994,12.4,0.371,0.345,20.8,0.7909999999999999,24.5,47.7,45.3,4.7,4.7,14.6,14.3
17,DEN,46,153.29999999999927,42.0,0.473,0.46299999999999997,11.0,0.359,0.358,16.2,0.777,22.5,44.2,42.7,4.6,4.4,13.8,14.3
18,HOU,44,216.0,40.8,0.451,0.462,15.6,0.345,0.349,20.6,0.7909999999999999,23.7,44.3,47.900000000000006,5.2,4.9,14.7,15.9
19,OKC,44,144.0,40.0,0.46799999999999997,0.455,10.7,0.355,0.34,19.8,0.7959999999999999,19.6,42.900000000000006,44.8,4.9,4.0,13.7,14.3
20,UTA,44,180.0,40.1,0.47100000000000003,0.457,13.4,0.38,0.353,17.8,0.779,21.5,44.9,42.7,4.1,4.6,15.1,12.4
21,DAL,43,367.5,41.7,0.461,0.45799999999999996,15.1,0.36700000000000005,0.35100000000000003,18.6,0.779,21.0,46.9,45.4,4.8,4.1,12.7,11.9
22,POR,35,-81.39999999999964,42.2,0.46299999999999997,0.456,12.9,0.377,0.38299999999999995,17.7,0.804,24.7,45.3,46.9,6.1,4.9,12.8,12.7
23,MEM,34,-80.30000000000109,42.5,0.46799999999999997,0.45,10.9,0.34700000000000003,0.365,16.6,0.763,25.0,46.5,44.9,5.5,5.3,15.2,14.9
24,PHO,34,14.599999999998545,41.2,0.46799999999999997,0.47200000000000003,11.4,0.358,0.363,19.9,0.8340000000000001,24.5,43.599999999999994,43.300000000000004,4.0,5.5,14.8,15.6
25,SAS,32,-78.10000000000036,42.2,0.47200000000000003,0.469,10.7,0.376,0.373,19.0,0.81,22.5,44.6,45.3,5.5,4.3,12.6,13.1
26,SAC,31,-144.0,40.9,0.462,0.47100000000000003,12.7,0.364,0.35700000000000004,15.7,0.77,24.3,42.7,43.6,4.1,4.2,14.5,15.3
27,NOP,30,-93.59999999999854,42.6,0.46399999999999997,0.465,13.6,0.37,0.361,17.1,0.7290000000000001,24.7,46.5,44.800000000000004,5.0,4.8,16.4,14.3
28,MIN,19,-268.8000000000002,40.4,0.441,0.47700000000000004,13.3,0.336,0.363,19.1,0.753,25.2,44.8,47.300000000000004,5.7,5.5,15.3,15.4
29,GSW,15,-565.5,38.6,0.43799999999999994,0.47600000000000003,10.4,0.33399999999999996,0.389,18.7,0.8029999999999999,21.9,42.9,46.5,4.6,4.9,14.9,15.3
