,Team,Date,Home,ML
0,Memphis Grizzlies,2020-08-15,1,245
1,Portland Trail Blazers,2020-08-15,0,-295
2,Denver Nuggets,2020-08-17,1,-154
3,Utah Jazz,2020-08-17,0,134
4,Brooklyn Nets,2020-08-17,1,369
5,Toronto Raptors,2020-08-17,0,-469
6,Boston Celtics,2020-08-17,1,-217
7,Philadelphia 76ers,2020-08-17,0,184
8,Dallas Mavericks,2020-08-17,1,198
9,Los Angeles Clippers,2020-08-17,0,-238
10,Milwaukee Bucks,2020-08-18,1,-748
11,Orlando Magic,2020-08-18,0,544
12,Indiana Pacers,2020-08-18,1,156
13,Miami Heat,2020-08-18,0,-178
14,Houston Rockets,2020-08-18,1,100
15,Oklahoma City Thunder,2020-08-18,0,-120
