,Team,Date,Home,ML,Spread,Over
0,MEM,2020-08-15,1,245,6.1,231.8
1,POR,2020-08-15,0,-295,-6.1,231.8
2,DEN,2020-08-17,1,-154,-3.2,218.7
3,UTA,2020-08-17,0,134,3.2,218.7
4,BRK,2020-08-17,1,369,9.6,223.7
5,TOR,2020-08-17,0,-469,-9.6,223.7
6,BOS,2020-08-17,1,-217,-5.5,220.0
7,PHI,2020-08-17,0,184,5.5,220.0
8,DAL,2020-08-17,1,198,5.8,230.7
9,LAC,2020-08-17,0,-238,-5.8,230.7
10,MIL,2020-08-18,1,-748,-11.2,224.5
11,ORL,2020-08-18,0,544,11.2,224.5
12,IND,2020-08-18,1,156,3.8,217.2
13,MIA,2020-08-18,0,-178,-3.8,217.2
14,HOU,2020-08-18,1,100,1.5,227.0
15,OKC,2020-08-18,0,-120,-1.5,227.0
