,Team,Date,Home,Spread
0,Memphis Grizzlies,2020-08-15,1,6.1
1,Portland Trail Blazers,2020-08-15,0,-6.1
2,Denver Nuggets,2020-08-17,1,-3.2
3,Utah Jazz,2020-08-17,0,3.2
4,Brooklyn Nets,2020-08-17,1,9.6
5,Toronto Raptors,2020-08-17,0,-9.6
6,Boston Celtics,2020-08-17,1,-5.5
7,Philadelphia 76ers,2020-08-17,0,5.5
8,Dallas Mavericks,2020-08-17,1,5.8
9,Los Angeles Clippers,2020-08-17,0,-5.8
10,Milwaukee Bucks,2020-08-18,1,-11.2
11,Orlando Magic,2020-08-18,0,11.2
12,Indiana Pacers,2020-08-18,1,3.8
13,Miami Heat,2020-08-18,0,-3.8
14,Houston Rockets,2020-08-18,1,1.5
15,Oklahoma City Thunder,2020-08-18,0,-1.5
