,Team,Date,Home,Over
0,Memphis Grizzlies,2020-08-15,1,231.8
1,Portland Trail Blazers,2020-08-15,0,231.8
2,Denver Nuggets,2020-08-17,1,218.7
3,Utah Jazz,2020-08-17,0,218.7
4,Brooklyn Nets,2020-08-17,1,223.7
5,Toronto Raptors,2020-08-17,0,223.7
6,Boston Celtics,2020-08-17,1,220.0
7,Philadelphia 76ers,2020-08-17,0,220.0
8,Dallas Mavericks,2020-08-17,1,230.7
9,Los Angeles Clippers,2020-08-17,0,230.7
10,Milwaukee Bucks,2020-08-18,1,224.5
11,Orlando Magic,2020-08-18,0,224.5
12,Indiana Pacers,2020-08-18,1,217.2
13,Miami Heat,2020-08-18,0,217.2
14,Houston Rockets,2020-08-18,1,227.0
15,Oklahoma City Thunder,2020-08-18,0,227.0
