,Team,season_wins,net_points,avg_for_fg,avg_for_fgp,avg_opp_fgp,avg_for_3p,avg_for_3pp,avg_opp_3pp,avg_for_ft,avg_for_ftp,avg_opp_fta,avg_for_rb,avg_opp_rb,avg_for_blk,avg_opp_blk,avg_for_to,avg_opp_to
0,MIL,54,737.0,43.5,0.47700000000000004,0.413,13.7,0.354,0.354,18.0,0.7440000000000001,21.0,51.9,45.5,6.0,4.6,15.0,14.1
1,TOR,48,429.0,40.3,0.457,0.428,13.8,0.374,0.336,18.4,0.805,23.0,45.2,46.1,4.9,5.4,14.6,16.7
2,BOS,44,389.39999999999964,41.1,0.46,0.44299999999999995,12.5,0.365,0.34299999999999997,18.5,0.8,24.2,45.900000000000006,44.2,5.6,5.6,13.7,15.2
3,MIA,42,227.8000000000011,39.6,0.47,0.447,13.4,0.38299999999999995,0.34600000000000003,19.7,0.7809999999999999,23.5,44.3,42.0,4.5,4.2,14.9,14.4
4,IND,41,140.69999999999982,42.3,0.47700000000000004,0.44799999999999995,10.0,0.36200000000000004,0.345,15.1,0.789,21.5,42.7,44.8,5.2,4.5,13.0,14.4
5,PHI,40,140.69999999999982,40.9,0.466,0.46299999999999997,11.4,0.363,0.35600000000000004,16.8,0.755,24.3,45.5,41.7,5.4,3.9,14.2,14.2
6,ORL,32,-33.5,39.4,0.444,0.46399999999999997,11.0,0.344,0.368,17.3,0.773,19.2,44.5,44.9,5.7,4.7,12.7,14.9
7,BRK,31,-39.599999999999454,40.0,0.444,0.44299999999999995,12.8,0.33899999999999997,0.349,18.1,0.746,22.3,48.4,45.900000000000006,4.5,5.3,15.4,12.9
8,WAS,24,-294.7999999999993,41.9,0.46,0.489,12.2,0.371,0.375,19.3,0.7859999999999999,26.4,41.7,46.1,4.3,5.1,14.1,16.1
9,CHO,23,-435.5,37.3,0.434,0.47600000000000003,12.1,0.35200000000000004,0.35200000000000004,16.2,0.748,18.4,42.8,45.9,4.1,5.0,14.6,14.2
10,CHI,22,-201.5,39.6,0.447,0.479,12.2,0.348,0.353,15.5,0.755,26.0,41.9,45.599999999999994,4.1,5.9,15.5,18.4
11,NYK,21,-429.0,40.0,0.447,0.46299999999999997,9.6,0.337,0.381,16.3,0.6940000000000001,25.7,46.5,44.2,4.7,5.0,14.3,13.6
12,DET,20,-237.60000000000036,39.3,0.45899999999999996,0.48,12.0,0.36700000000000005,0.361,16.6,0.743,20.9,41.8,43.5,4.5,5.6,15.3,13.9
13,ATL,20,-529.3000000000011,40.6,0.449,0.478,12.0,0.33299999999999996,0.363,18.5,0.79,27.4,43.3,47.099999999999994,5.1,6.4,16.2,14.8
14,CLE,19,-513.5,40.3,0.45799999999999996,0.491,11.2,0.35100000000000003,0.375,15.1,0.758,19.2,44.2,42.8,3.2,6.3,16.5,13.3
15,LAL,51,462.0,42.5,0.48200000000000004,0.444,11.1,0.35200000000000004,0.344,17.7,0.732,23.0,45.9,42.300000000000004,6.8,3.8,15.1,15.6
16,LAC,45,435.59999999999945,41.4,0.46299999999999997,0.436,12.4,0.371,0.34,20.9,0.7909999999999999,25.1,47.8,45.5,4.9,4.8,14.8,14.5
17,DEN,44,180.90000000000055,41.8,0.47,0.45899999999999996,10.8,0.354,0.348,16.1,0.775,22.5,44.2,42.699999999999996,4.6,4.5,13.8,14.5
18,HOU,42,250.79999999999927,41.2,0.45399999999999996,0.462,15.5,0.349,0.349,20.7,0.7879999999999999,23.5,44.7,47.5,5.2,4.9,14.5,15.8
19,UTA,42,180.90000000000055,40.0,0.47200000000000003,0.45299999999999996,13.0,0.377,0.35100000000000003,17.7,0.7759999999999999,21.1,44.9,42.6,4.0,4.6,15.1,12.4
20,OKC,41,165.0,40.2,0.473,0.456,10.5,0.35600000000000004,0.34299999999999997,19.8,0.7959999999999999,18.9,42.7,44.3,5.1,4.1,13.6,14.1
21,DAL,40,400.1999999999998,41.7,0.462,0.455,15.3,0.368,0.34600000000000003,18.2,0.774,21.0,47.2,45.3,5.0,4.1,12.8,12.2
22,MEM,32,-81.60000000000036,42.6,0.46799999999999997,0.451,10.9,0.348,0.365,16.5,0.763,25.0,46.400000000000006,45.0,5.6,5.3,15.2,14.8
23,POR,30,-102.0,42.0,0.462,0.452,12.7,0.374,0.37799999999999995,17.5,0.8009999999999999,24.9,45.300000000000004,47.2,6.2,5.0,13.0,12.6
24,SAS,29,-99.0,42.1,0.47,0.47,10.7,0.374,0.375,18.7,0.809,22.7,44.4,45.3,5.5,4.3,12.4,13.0
25,NOP,29,-67.0,42.4,0.461,0.46299999999999997,13.8,0.371,0.35600000000000004,17.0,0.7240000000000001,24.5,47.0,45.1,5.0,4.9,16.3,14.3
26,SAC,28,-145.19999999999982,40.5,0.46,0.47,12.5,0.36200000000000004,0.358,15.7,0.77,24.0,42.5,43.5,4.1,4.3,14.5,15.2
27,PHO,28,-73.70000000000073,40.8,0.465,0.474,11.2,0.353,0.365,20.0,0.83,24.9,43.099999999999994,43.599999999999994,4.0,5.6,15.1,15.8
28,MIN,19,-268.8000000000002,40.4,0.441,0.47700000000000004,13.3,0.336,0.363,19.1,0.753,25.2,44.8,47.300000000000004,5.7,5.5,15.3,15.4
29,GSW,15,-565.5,38.6,0.43799999999999994,0.47600000000000003,10.4,0.33399999999999996,0.389,18.7,0.8029999999999999,21.9,42.9,46.5,4.6,4.9,14.9,15.3
