,Date,Home_x,Team,ML,Spread,Over,Win,Win_Spread,Win_Over,season_wins,net_points,Unnamed: 0,Game,Home_y,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
0,2014-10-29,0,ATL,161,4.5,198.5,0,0,1,0,0,1,1,Away,TOR,L,102,109,40,80,0.5,13,22,0.591,9,17,0.529,10,42,26,6,8,17,24,37,90,0.41100000000000003,8,26,0.308,27,33,0.818,16,48,26,13,9,9,22
1,2014-11-01,1,ATL,-650,-11.0,193.5,1,0,1,0,-7,2,2,Home,IND,W,102,92,35,69,0.507,7,20,0.35,25,33,0.758,3,37,26,10,6,12,20,31,81,0.38299999999999995,12,32,0.375,18,21,0.857,11,44,25,5,5,18,26
2,2014-11-05,0,ATL,315,8.0,202.0,0,1,0,1,3,3,3,Away,SAS,L,92,94,38,92,0.413,8,25,0.32,8,11,0.727,10,37,26,14,5,13,25,31,69,0.449,5,17,0.294,27,38,0.711,11,50,25,7,9,19,15
3,2014-11-07,0,ATL,105,1.5,194.5,0,0,1,1,1,4,4,Away,CHO,L,119,122,43,93,0.462,13,33,0.39399999999999996,20,26,0.769,7,38,28,8,3,19,33,48,97,0.495,6,21,0.28600000000000003,20,27,0.741,11,51,31,6,7,19,30
4,2014-11-08,1,ATL,-290,-6.5,194.5,1,1,1,1,-2,5,5,Home,NYK,W,103,96,33,81,0.40700000000000003,9,22,0.409,28,36,0.778,12,41,18,10,5,8,17,40,84,0.47600000000000003,8,21,0.381,8,11,0.727,13,44,26,2,6,15,29
5,2014-11-10,0,ATL,-130,-2.0,197.5,1,1,0,2,5,6,6,Away,NYK,W,91,85,27,71,0.38,10,27,0.37,27,28,0.9640000000000001,9,38,20,7,3,15,16,36,83,0.434,6,26,0.231,7,12,0.583,11,40,23,4,2,15,26
6,2014-11-12,1,ATL,-324,-7.0,197.0,1,0,0,3,11,7,7,Home,UTA,W,100,97,39,76,0.513,9,20,0.45,13,18,0.722,13,46,23,8,4,18,12,43,86,0.5,5,23,0.217,6,12,0.5,8,30,28,12,8,11,17
7,2014-11-14,1,ATL,-204,-5.0,193.0,1,1,1,4,14,8,8,Home,MIA,W,114,103,42,75,0.56,11,28,0.39299999999999996,19,23,0.826,3,36,33,10,5,13,20,35,74,0.473,10,21,0.47600000000000003,23,25,0.92,5,32,27,10,3,14,20
8,2014-11-15,0,ATL,250,7.0,209.0,0,0,1,5,25,9,9,Away,CLE,L,94,127,40,90,0.444,3,22,0.136,11,13,0.846,11,37,26,6,8,18,12,49,90,0.544,19,31,0.613,10,13,0.769,12,47,39,12,2,13,14
9,2014-11-18,1,ATL,-425,-8.5,211.5,0,0,1,5,-8,10,10,Home,LAL,L,109,114,41,85,0.48200000000000004,9,27,0.33299999999999996,18,23,0.7829999999999999,13,38,22,7,3,10,17,47,87,0.54,6,17,0.353,14,22,0.636,13,44,24,7,0,11,24
