,Team,Home,ML,Spread,Over,season_wins,net_points,avg_for_fg,avg_for_fgp,avg_opp_fgp,avg_for_3p,avg_for_3pp,avg_opp_3pp,avg_for_ft,avg_for_ftp,avg_opp_fta,avg_for_rb,avg_opp_rb,avg_for_blk,avg_opp_blk,avg_for_to,avg_opp_to
0,BRK,1,1532,18.7,229.11111111111111,31,-39.599999999999454,40.0,0.444,0.44299999999999995,12.8,0.33899999999999997,0.349,18.1,0.746,22.3,48.4,45.900000000000006,4.5,5.3,15.4,12.9
1,MIL,0,-3684,-18.7,229.11111111111111,54,737.0,43.5,0.47700000000000004,0.413,13.7,0.354,0.354,18.0,0.7440000000000001,21.0,51.9,45.5,6.0,4.6,15.0,14.1
2,DAL,1,-215,-5.6,236.5,40,400.1999999999998,41.7,0.462,0.455,15.3,0.368,0.34600000000000003,18.2,0.774,21.0,47.2,45.3,5.0,4.1,12.8,12.2
3,SAC,0,184,5.6,236.5,28,-145.19999999999982,40.5,0.46,0.47,12.5,0.36200000000000004,0.358,15.7,0.77,24.0,42.5,43.5,4.1,4.3,14.5,15.2
4,LAC,1,-399,-8.8,230.05555555555557,45,435.59999999999945,41.4,0.46299999999999997,0.436,12.4,0.371,0.34,20.9,0.7909999999999999,25.1,47.8,45.5,4.9,4.8,14.8,14.5
5,PHO,0,317,8.8,230.05555555555557,28,-73.70000000000073,40.8,0.465,0.474,11.2,0.353,0.365,20.0,0.83,24.9,43.099999999999994,43.599999999999994,4.0,5.6,15.1,15.8
6,IND,1,101,1.5,225.2,41,140.69999999999982,42.3,0.47700000000000004,0.44799999999999995,10.0,0.36200000000000004,0.345,15.1,0.789,21.5,42.7,44.8,5.2,4.5,13.0,14.4
7,ORL,0,-119,-1.5,225.2,32,-33.5,39.4,0.444,0.46399999999999997,11.0,0.344,0.368,17.3,0.773,19.2,44.5,44.9,5.7,4.7,12.7,14.9
8,BOS,1,-166,-3.6,220.9,44,389.39999999999964,41.1,0.46,0.44299999999999995,12.5,0.365,0.34299999999999997,18.5,0.8,24.2,45.900000000000006,44.2,5.6,5.6,13.7,15.2
9,MIA,0,145,3.6,220.9,42,227.8000000000011,39.6,0.47,0.447,13.4,0.38299999999999995,0.34600000000000003,19.7,0.7809999999999999,23.5,44.3,42.0,4.5,4.2,14.9,14.4
10,HOU,1,-168,-3.8,242.9,42,250.79999999999927,41.2,0.45399999999999996,0.462,15.5,0.349,0.349,20.7,0.7879999999999999,23.5,44.7,47.5,5.2,4.9,14.5,15.8
11,POR,0,147,3.8,242.9,30,-102.0,42.0,0.462,0.452,12.7,0.374,0.37799999999999995,17.5,0.8009999999999999,24.9,45.300000000000004,47.2,6.2,5.0,13.0,12.6
