,Team,Date,Home,Over
0,Los Angeles Clippers,2020-08-08,1,236.78571428571428
1,Portland Trail Blazers,2020-08-08,0,236.78571428571428
2,Denver Nuggets,2020-08-08,1,221.66666666666666
3,Utah Jazz,2020-08-08,0,221.66666666666666
4,Indiana Pacers,2020-08-08,1,218.66666666666666
5,Los Angeles Lakers,2020-08-08,0,218.66666666666666
6,Miami Heat,2020-08-08,1,225.83333333333334
7,Phoenix Suns,2020-08-08,0,225.83333333333334
8,Dallas Mavericks,2020-08-08,1,234.05
9,Milwaukee Bucks,2020-08-08,0,234.05
10,Denver Nuggets,2020-08-10,1,NaN
11,Los Angeles Lakers,2020-08-10,0,NaN
